cik,ticker,name,is_known_case,fiscal_year,fscore,mscore,mscore_flag,accruals,asset_growth,hedging,d_hedging,fls_freq,d_fls_freq,flag_fscore_weak,flag_mscore_manip,flag_accruals,flag_asset_growth,flag_hedging_rise,flag_fls_drop,flag_late_filing,red_flags,screen_flagged,screen_status,fiscal_period_end,combined_available_as_of,reasons
320193,AAPL,Apple,False,2009,,,,-0.0827282687415275,,0.0294678453804818,,0.0091003640145605,,False,False,False,False,False,False,False,0,False,insufficient_data,2009-09-26,2009-10-27,
320193,AAPL,Apple,False,2010,,,,-0.0609446284399398,0.3961300625800821,0.0162718618552136,-0.0131959835252682,0.0167146336063759,0.0076142695918153,False,False,False,True,False,False,False,1,False,watch,2010-09-25,2010-10-27,asset growth +40% YoY (> 30%)
320193,AAPL,Apple,False,2011,,,,-0.0997413444930438,0.5478366120000532,0.0184493227463801,0.0021774608911665,0.0171648762260625,0.0004502426196866,False,False,False,True,False,False,False,1,False,watch,2011-09-24,2011-10-26,asset growth +55% YoY (> 30%)
320193,AAPL,Apple,False,2012,,,,-0.0518163849509269,0.512954258363338,0.0178861788617886,-0.0005631438845915,0.0138211382113821,-0.0033437380146804,False,False,False,True,False,False,False,1,False,watch,2012-09-29,2012-10-31,asset growth +51% YoY (> 30%)
320193,AAPL,Apple,False,2013,,,,-0.0803333333333333,0.1757088331515812,0.0473203477495322,0.0294341688877436,0.0108946847144272,-0.0029264534969549,False,False,False,False,True,False,False,1,False,watch,2013-09-28,2013-10-30,hedging +0.0294 YoY (+165%) (rise)
320193,AAPL,Apple,False,2014,4.0,-2.696799487132867,False,-0.0871423703518389,0.1199951690821256,0.0463419646526921,-0.0009783830968401,0.0116111796136457,0.0007164948992185,False,False,False,False,False,False,False,0,False,clear,2014-09-27,2014-10-27,
320193,AAPL,Apple,False,2015,8.0,-2.985276625355103,False,-0.0959518588262834,0.2529341482666851,0.0484572155656876,0.0021152509129954,0.0112395292121726,-0.000371650401473,False,False,False,False,False,False,False,0,False,clear,2015-09-26,2015-10-28,
320193,AAPL,Apple,False,2016,5.0,-2.8404348803669253,False,-0.0625983101533793,0.1074328953211764,0.0513971495903939,0.0029399340247062,0.011895410167209,0.0006558809550364,False,False,False,False,False,False,False,0,False,clear,2016-09-24,2016-10-26,
320193,AAPL,Apple,False,2017,4.0,-2.5395755195543495,False,-0.0406241090911997,0.1667246942670803,0.0536368684064408,0.0022397188160469,0.0119933370349805,9.792686777149868e-05,False,False,False,False,False,False,False,0,False,clear,2017-09-30,2017-11-03,
320193,AAPL,Apple,False,2018,6.0,-2.511611141290395,False,-0.0489520814819878,-0.0255622550417111,0.0151914117885355,-0.0384454566179053,0.0091148470731213,-0.0028784899618592,False,False,False,False,False,False,False,0,False,clear,2018-09-29,2018-11-05,
320193,AAPL,Apple,False,2019,6.0,-2.812478352300119,False,-0.0417557811152205,-0.0743974297627999,0.0466422466422466,0.0314508348537111,0.0161172161172161,0.0070023690440947,False,False,False,False,True,False,False,1,False,watch,2019-09-28,2019-10-31,hedging +0.0315 YoY (+207%) (rise)
320193,AAPL,Apple,False,2020,6.0,-3.0677708750060546,False,-0.0718242108383144,-0.0432121376833,0.0455933682373473,-0.0010488784048993,0.0161431064572425,2.5890340026462483e-05,False,False,False,False,False,False,False,0,False,clear,2020-09-26,2020-10-30,
320193,AAPL,Apple,False,2021,7.0,-2.0778310063799155,False,-0.0266608167474829,0.0837141234006817,0.0389362327358213,-0.0066571355015259,0.0136644137525712,-0.0024786927046713,False,False,False,False,False,False,False,0,False,clear,2021-09-25,2021-10-29,
320193,AAPL,Apple,False,2022,6.0,-2.762023501823561,False,-0.0633527519099658,0.0049942735369029,0.0389350128829086,-1.219852912660857e-06,0.0135986258230747,-6.578792949653994e-05,False,False,False,False,False,False,False,0,False,clear,2022-09-24,2022-10-28,
320193,AAPL,Apple,False,2023,7.0,-2.634285325875898,False,-0.0384249949657243,-0.0004875905373417,0.0372902423865755,-0.0016447704963331,0.0132069608452454,-0.0003916649778292,False,False,False,False,False,False,False,0,False,clear,2023-09-30,2023-11-03,
320193,AAPL,Apple,False,2024,7.0,-2.7272736760703284,False,-0.0671762836319798,0.0351605153963747,0.0360811394044022,-0.0012091029821732,0.0119982736296935,-0.0012086872155519,False,False,False,False,False,False,False,0,False,clear,2024-09-28,2024-11-01,
320193,AAPL,Apple,False,2025,8.0,-2.294943021712222,False,0.0014697654220982,-0.015724149268453,0.0386735572782084,0.0025924178738061,0.0099913867355727,-0.0020068868941207,False,False,False,False,False,False,False,0,False,clear,2025-09-27,2025-10-31,
885590,BHC,Bausch Health (fka Valeant),True,2010,,,,-0.0436664095442411,,0.0229053357931811,,0.0128902412727316,,False,False,False,False,False,False,False,0,False,insufficient_data,2010-12-31,2011-02-28,
885590,BHC,Bausch Health (fka Valeant),True,2011,,,,0.0033617383061097,0.2173756893973451,0.0232477295441706,0.0003423937509895,0.0117759527223743,-0.0011142885503573,False,False,False,False,False,False,False,0,False,insufficient_data,2011-12-31,2012-02-29,
885590,BHC,Bausch Health (fka Valeant),True,2012,6.0,-1.995948638289602,False,0.0125742748941401,0.365908614805391,0.0231392289685745,-0.0001085005755961,0.0113106705611832,-0.000465282161191,False,False,False,True,False,False,False,1,False,watch,2012-12-31,2013-02-28,asset growth +37% YoY (> 30%)
885590,BHC,Bausch Health (fka Valeant),True,2013,4.0,-1.8705363456144648,False,-0.0681291276755539,0.5582287705457362,0.028198695434019,0.0050594664654445,0.0128850978424485,0.0015744272812653,False,False,False,True,False,False,False,1,False,watch,2013-12-31,2014-02-28,asset growth +56% YoY (> 30%)
885590,BHC,Bausch Health (fka Valeant),True,2014,6.0,-2.558152906314328,False,-0.0524608203999544,-0.0578387880760065,0.0303108202851133,0.0021121248510942,0.0134844589857443,0.0005993611432957,False,False,False,False,False,False,False,0,False,clear,2014-12-31,2015-02-25,
885590,BHC,Bausch Health (fka Valeant),True,2015,4.0,-2.4743563585415966,False,-0.0508164078056551,0.8580237544112624,0.032417950435365,0.0021071301502516,0.0122739450770261,-0.0012105139087182,False,False,False,True,False,False,True,2,True,flagged,2015-12-31,2016-04-29,asset growth +86% YoY (> 30%); 10-K filed 120d after period-end (> 90); NT 10-K late-notice filed
885590,BHC,Bausch Health (fka Valeant),True,2016,4.0,-3.045510407085273,False,-0.1032644903397734,-0.1110089963136558,0.0319259567387687,-0.0004919936965963,0.014945329213216,0.0026713841361899,False,False,False,False,False,False,False,0,False,clear,2016-12-31,2017-03-01,
885590,BHC,Bausch Health (fka Valeant),True,2017,5.0,-2.5904697982979057,False,0.0030402432194575,-0.1385742838107928,0.0273151064633992,-0.0046108502753694,0.0148544790223006,-9.08501909154518e-05,False,False,False,False,False,False,False,0,False,clear,2017-12-31,2018-02-28,
885590,BHC,Bausch Health (fka Valeant),True,2018,,,,-0.1737350732487997,-0.133477344854255,0.0282326142302023,0.000917507766803,0.0156907409888784,0.0008362619665778,False,False,False,False,False,False,False,0,False,insufficient_data,2018-12-31,2019-02-20,
885590,BHC,Bausch Health (fka Valeant),True,2019,,,,-0.096979003632283,0.0421950018466084,0.0315098770548418,0.0032772628246394,0.016632131509877,0.0009413905209985,False,False,False,False,False,False,False,0,False,insufficient_data,2019-12-31,2020-02-19,
885590,BHC,Bausch Health (fka Valeant),True,2020,,,,-0.0535273566460463,-0.0786699347370286,0.0320980377710651,0.0005881607162232,0.0169576856013163,0.0003255540914392,False,False,False,False,False,False,False,0,False,insufficient_data,2021-02-18,2021-02-24,
885590,BHC,Bausch Health (fka Valeant),True,2021,,,,-0.0812958016574207,-0.0640084618096733,0.0323161516447474,0.0002181138736823,0.0180070098717,0.0010493242703837,False,False,False,False,False,False,False,0,False,insufficient_data,2021-12-31,2022-02-23,
885590,BHC,Bausch Health (fka Valeant),True,2022,,,,0.0195826520283422,-0.1204027121430039,0.0345110727110065,0.0021949210662591,0.0157971494050026,-0.0022098604666974,False,False,False,False,False,False,False,0,False,insufficient_data,2022-12-31,2023-02-23,
