cik,ticker,name,is_known_case,fiscal_year,f_roa,f_cfo,f_droa,f_accrual,f_dleverage,f_dliquidity,f_neqissue,f_dmargin,f_dturnover,fscore,fscore_available,fscore_missing_inputs,DSRI,GMI,AQI,SGI,DEPI,SGAI,TATA,LVGI,mscore,mscore_flag,mscore_available,mscore_missing_inputs,accruals,asset_growth,filing_date,source_form
320193,AAPL,Apple,False,2009,,1.0,,,,,,,,,1,long_term_debt,,,,,,,-0.08272826874152754,,,,1,"ppe_net,long_term_debt",-0.08272826874152754,,2009-10-27,10-K
320193,AAPL,Apple,False,2010,1.0,1.0,,1.0,,1.0,0.0,1.0,,,6,long_term_debt,0.9183365798635601,0.9133009440411387,,1.7851766702247038,,0.7448663353700564,-0.06094462843993988,,,,5,"ppe_net,long_term_debt",-0.06094462843993988,0.3961300625800821,2010-10-27,10-K
320193,AAPL,Apple,False,2011,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,,8,long_term_debt,0.5871269286904384,0.9727918321893894,,1.6596243771559984,,0.8299341882962915,-0.0997413444930438,,,,5,"ppe_net,long_term_debt",-0.0997413444930438,0.5478366120000532,2011-10-26,10-K
320193,AAPL,Apple,False,2012,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,,8,long_term_debt,1.408037136619593,0.9226749928959314,,1.4458147419375698,,0.9138283341871601,-0.051816384950926934,,,,5,long_term_debt,-0.051816384950926934,0.512954258363338,2012-10-31,10-K
320193,AAPL,Apple,False,2013,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,0.0,,8,,1.0977071692494986,1.1660291110547922,0.9675108462338532,1.0920208551639532,0.6047407144642916,0.9877881487915287,-0.08033333333333334,,,,7,,-0.08033333333333334,0.17570883315158126,2013-10-30,10-K
320193,AAPL,Apple,False,2014,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,9,,1.245976370517552,0.9750296941133404,1.0877752851874813,1.0695395237259375,1.0402897579557795,1.0353865974167362,-0.08714237035183899,1.361503282608928,-2.696799487132867,False,8,,-0.08714237035183899,0.11999516908212561,2014-10-27,10-K
320193,AAPL,Apple,False,2015,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,9,,0.7547578115904129,0.9632583664585429,0.9991964363514801,1.2785634180365983,0.8333093282540115,0.9344708847812707,-0.09595185882628349,1.1576482929715295,-2.985276625355103,False,8,,-0.09595185882628349,0.2529341482666851,2015-10-28,10-K
320193,AAPL,Apple,False,2016,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,9,,1.01338853900584,1.0251803533144106,0.949379735472405,0.9226579380869863,1.1919031593115053,1.0736140731162198,-0.06259831015337938,1.040115003804041,-2.8404348803669253,False,8,,-0.06259831015337938,0.1074328953211764,2016-10-26,10-K
320193,AAPL,Apple,False,2017,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,9,,1.067282009802712,1.0157550650937655,0.9715768015622513,1.0630451819939806,1.43367503405142,1.011408194454687,-0.040624109091199755,1.0990128016639655,-2.5395755195543495,False,8,,-0.040624109091199755,0.1667246942670803,2017-11-03,10-K
320193,AAPL,Apple,False,2018,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,9,,1.1196008401529676,1.0032897610292661,0.9307443074495193,1.158619576502613,0.9352400774002485,0.9447624536131117,-0.04895208148198783,1.0914279759323158,-2.511611141290395,False,8,,-0.04895208148198783,-0.025562255041711186,2018-11-05,10-K
